gene_id	gene_name	gene_type	chr	start	end
ENSG00000143437.20	ARNT	protein_coding	chr1	150809705	150876768
ENSG00000143379.12	SETDB1	protein_coding	chr1	150926263	150964744
ENSG00000143373.17	ZNF687	protein_coding	chr1	151281618	151292180
ENSG00000143390.17	RFX5	protein_coding	chr1	151340640	151347357
ENSG00000143365.17	RORC	protein_coding	chr1	151806071	151831872
ENSG00000143614.9	GATAD2B	protein_coding	chr1	153789030	153923360
ENSG00000143578.15	CREB3L4	protein_coding	chr1	153967534	153974363
ENSG00000160685.13	ZBTB7B	protein_coding	chr1	155002630	155018522
ENSG00000116539.12	ASH1L	protein_coding	chr1	155335268	155562807
ENSG00000198715.12	GLMP	protein_coding	chr1	156290089	156295689
ENSG00000116604.17	MEF2D	protein_coding	chr1	156463727	156500828
ENSG00000253831.1	ETV3L	protein_coding	chr1	157092044	157099808
ENSG00000117036.11	ETV3	protein_coding	chr1	157121191	157138474
ENSG00000171786.5	NHLH1	protein_coding	chr1	160367067	160372848
ENSG00000158773.14	USF1	protein_coding	chr1	161039251	161045977
ENSG00000143257.11	NR1I3	protein_coding	chr1	161229666	161238302
ENSG00000118217.5	ATF6	protein_coding	chr1	161766294	161964070
ENSG00000185630.18	PBX1	protein_coding	chr1	164555584	164899296
ENSG00000162761.14	LMX1A	protein_coding	chr1	165201867	165356715
ENSG00000143171.12	RXRG	protein_coding	chr1	165400917	165445355
ENSG00000143157.11	POGK	protein_coding	chr1	166839447	166856344
ENSG00000143190.22	POU2F1	protein_coding	chr1	167220829	167427345
ENSG00000143178.12	TBX19	protein_coding	chr1	168281040	168314426
ENSG00000116132.11	PRRX1	protein_coding	chr1	170662728	170739419
ENSG00000185278.15	ZBTB37	protein_coding	chr1	173868082	173903549
ENSG00000121454.5	LHX4	protein_coding	chr1	180230286	180278982
ENSG00000179930.5	ZNF648	protein_coding	chr1	182054570	182061712
ENSG00000177888.7	ZBTB41	protein_coding	chr1	197153680	197200542
ENSG00000143355.15	LHX9	protein_coding	chr1	197911902	197935478
ENSG00000116833.13	NR5A2	protein_coding	chr1	200027602	200177424
ENSG00000162702.7	ZNF281	protein_coding	chr1	200404940	200410056
ENSG00000232237.3	ASCL5	protein_coding	chr1	201113953	201127184
ENSG00000163435.15	ELF3	protein_coding	chr1	202007945	202017188
ENSG00000117139.17	KDM5B	protein_coding	chr1	202724495	202809470
ENSG00000122180.4	MYOG	protein_coding	chr1	203083132	203086036
ENSG00000257315.2	ZBED6	protein_coding	chr1	203795714	203854999
ENSG00000143842.14	SOX13	protein_coding	chr1	204073115	204127743
ENSG00000158711.13	ELK4	protein_coding	chr1	205597556	205631962
ENSG00000117595.11	IRF6	protein_coding	chr1	209785623	209806175
ENSG00000162772.16	ATF3	protein_coding	chr1	212565334	212620777
ENSG00000123685.8	BATF3	protein_coding	chr1	212686418	212699985
ENSG00000117707.15	PROX1	protein_coding	chr1	213983181	214041502
ENSG00000196482.16	ESRRG	protein_coding	chr1	216503246	217137755
ENSG00000136630.12	HLX	protein_coding	chr1	220879400	220885059
ENSG00000185155.11	MIXL1	protein_coding	chr1	226223618	226227054
ENSG00000181450.17	ZNF678	protein_coding	chr1	227563543	227677443
ENSG00000179456.10	ZBTB18	protein_coding	chr1	244048939	244057476
ENSG00000185420.18	SMYD3	protein_coding	chr1	245749342	246507312
ENSG00000153207.15	AHCTF1	protein_coding	chr1	246839098	246931967
ENSG00000197472.14	ZNF695	protein_coding	chr1	246945547	247008093
ENSG00000277462.1	ZNF670	protein_coding	chr1	247036784	247078755
ENSG00000188295.14	ZNF669	protein_coding	chr1	247099962	247104372
ENSG00000196418.12	ZNF124	protein_coding	chr1	247121975	247172016
ENSG00000162714.12	ZNF496	protein_coding	chr1	247297412	247331846
ENSG00000171161.12	ZNF672	protein_coding	chr1	248838210	248849517
ENSG00000171163.15	ZNF692	protein_coding	chr1	248850006	248859144
ENSG00000186487.19	MYT1L	protein_coding	chr2	1789113	2331664
ENSG00000176887.6	SOX11	protein_coding	chr2	5692667	5701385
ENSG00000134317.17	GRHL1	protein_coding	chr2	9951693	10002277
ENSG00000172059.10	KLF11	protein_coding	chr2	10042849	10054836
ENSG00000169016.16	E2F6	protein_coding	chr2	11444375	11466177
ENSG00000134323.11	MYCN	protein_coding	chr2	15940564	15947007
ENSG00000151379.3	MSGN1	protein_coding	chr2	17816496	17817101
ENSG00000143867.6	OSR1	protein_coding	chr2	19351485	19358653
ENSG00000084676.15	NCOA1	protein_coding	chr2	24491914	24770702
ENSG00000115163.14	CENPA	protein_coding	chr2	26764289	26801067
ENSG00000138073.13	PREB	protein_coding	chr2	27130756	27134675
ENSG00000163792.6	TCF23	protein_coding	chr2	27149004	27156974
ENSG00000163795.13	ZNF513	protein_coding	chr2	27377231	27380790
ENSG00000243943.9	ZNF512	protein_coding	chr2	27582969	27623215
ENSG00000075426.11	FOSL2	protein_coding	chr2	28392448	28417312
ENSG00000115816.14	CEBPZ	protein_coding	chr2	37201612	37231713
ENSG00000138083.4	SIX3	protein_coding	chr2	44941898	44946077
ENSG00000170577.7	SIX2	protein_coding	chr2	45005161	45009430
ENSG00000116016.13	EPAS1	protein_coding	chr2	46293667	46386703
ENSG00000170802.15	FOXN2	protein_coding	chr2	48314637	48379294
ENSG00000119866.21	BCL11A	protein_coding	chr2	60450520	60555154
ENSG00000162924.14	REL	protein_coding	chr2	60881521	60931610
ENSG00000115507.9	OTX1	protein_coding	chr2	63050057	63057836
ENSG00000143995.19	MEIS1	protein_coding	chr2	66433452	66573869
ENSG00000059728.10	MXD1	protein_coding	chr2	69897688	69942945
ENSG00000183733.6	FIGLA	protein_coding	chr2	70777310	70790643
ENSG00000116035.3	VAX2	protein_coding	chr2	70900590	70965373
ENSG00000135638.13	EMX1	protein_coding	chr2	72916260	72936071
ENSG00000214513.3	NOTO	protein_coding	chr2	73202258	73212513
ENSG00000135625.7	EGR4	protein_coding	chr2	73290929	73293705
ENSG00000187605.15	TET3	protein_coding	chr2	73986404	74108176
ENSG00000179528.15	LBX2	protein_coding	chr2	74497517	74503316
ENSG00000115297.10	TLX2	protein_coding	chr2	74513463	74517147
ENSG00000176407.17	KCMF1	protein_coding	chr2	84971093	85059472
ENSG00000152284.4	TCF7L1	protein_coding	chr2	85133410	85310388
ENSG00000168874.12	ATOH8	protein_coding	chr2	85751344	85788066
ENSG00000214336.4	FOXI3	protein_coding	chr2	88446787	88452656
ENSG00000144026.11	ZNF514	protein_coding	chr2	95147330	95165413
ENSG00000275111.4	ZNF2	protein_coding	chr2	95165432	95184317
ENSG00000233757.6	AC092835.1	protein_coding	chr2	95207535	95259774
ENSG00000115041.12	KCNIP3	protein_coding	chr2	95297304	95386083
ENSG00000196843.15	ARID5A	protein_coding	chr2	96536743	96552638
ENSG00000170485.16	NPAS2	protein_coding	chr2	100820152	100996829
ENSG00000196460.13	RFX8	protein_coding	chr2	101397361	101474703
ENSG00000198914.3	POU3F3	protein_coding	chr2	104855511	104858574
ENSG00000144161.12	ZC3H8	protein_coding	chr2	112211525	112255136
ENSG00000125618.16	PAX8	protein_coding	chr2	113215997	113278950
ENSG00000184492.6	FOXD4L1	protein_coding	chr2	113498665	113501155
ENSG00000163064.6	EN1	protein_coding	chr2	118842171	118847678
ENSG00000074047.21	GLI2	protein_coding	chr2	120735623	120992653
ENSG00000115112.7	TFCP2L1	protein_coding	chr2	121216587	121285207
ENSG00000169554.19	ZEB2	protein_coding	chr2	144364364	144524583
ENSG00000153234.13	NR4A2	protein_coding	chr2	156324432	156342348
ENSG00000123636.17	BAZ2B	protein_coding	chr2	159318979	159616692
ENSG00000136535.14	TBR1	protein_coding	chr2	161416094	161425870
ENSG00000178662.15	CSRNP3	protein_coding	chr2	165469647	165689407
ENSG00000204335.3	SP5	protein_coding	chr2	170715351	170718078
ENSG00000144355.14	DLX1	protein_coding	chr2	172084740	172089677
ENSG00000115844.10	DLX2	protein_coding	chr2	172099439	172102900
ENSG00000172845.14	SP3	protein_coding	chr2	173906459	173965702
ENSG00000217236.1	SP9	protein_coding	chr2	174334946	174338492
ENSG00000115966.16	ATF2	protein_coding	chr2	175072250	175168382
ENSG00000174279.4	EVX2	protein_coding	chr2	176077472	176083913
ENSG00000128714.5	HOXD13	protein_coding	chr2	176092891	176095938
ENSG00000170178.6	HOXD12	protein_coding	chr2	176099730	176101193
ENSG00000128713.13	HOXD11	protein_coding	chr2	176104216	176109754
ENSG00000128710.5	HOXD10	protein_coding	chr2	176108790	176119942
ENSG00000128709.12	HOXD9	protein_coding	chr2	176122720	176124937
ENSG00000175879.8	HOXD8	protein_coding	chr2	176129694	176132695
ENSG00000170166.5	HOXD4	protein_coding	chr2	176151222	176153226
ENSG00000128652.11	HOXD3	protein_coding	chr2	176136612	176173102
ENSG00000128645.14	HOXD1	protein_coding	chr2	176188579	176190907
ENSG00000116044.15	NFE2L2	protein_coding	chr2	177227595	177392697
ENSG00000144331.19	ZNF385B	protein_coding	chr2	179441982	179861505
ENSG00000162992.3	NEUROD1	protein_coding	chr2	181673088	181680876
ENSG00000170396.7	ZNF804A	protein_coding	chr2	184598366	184939492
ENSG00000115415.18	STAT1	protein_coding	chr2	190964358	191020960
ENSG00000138378.18	STAT4	protein_coding	chr2	191029576	191151596
ENSG00000119042.16	SATB2	protein_coding	chr2	199269500	199471266
ENSG00000138380.17	CARF	protein_coding	chr2	202912214	202987063
ENSG00000118263.14	KLF7	protein_coding	chr2	207074137	207167267
ENSG00000118260.14	CREB1	protein_coding	chr2	207529737	207603431
ENSG00000030419.16	IKZF2	protein_coding	chr2	212999691	213152427
ENSG00000115568.15	ZNF142	protein_coding	chr2	218637916	218659655
ENSG00000163497.2	FEV	protein_coding	chr2	218981087	218985657
ENSG00000163516.13	ANKZF1	protein_coding	chr2	219229757	219236669
ENSG00000135903.19	PAX3	protein_coding	chr2	222199888	222298996
ENSG00000135899.17	SP110	protein_coding	chr2	230167293	230225729
ENSG00000079263.18	SP140	protein_coding	chr2	230203110	230313215
ENSG00000185404.16	SP140L	protein_coding	chr2	230327184	230403732
ENSG00000067066.16	SP100	protein_coding	chr2	230415942	230544090
ENSG00000221944.7	TIGD1	protein_coding	chr2	232547970	232550592
ENSG00000168505.6	GBX2	protein_coding	chr2	236165236	236168369
ENSG00000144485.10	HES6	protein_coding	chr2	238238267	238240662
ENSG00000233608.3	TWIST2	protein_coding	chr2	238848032	238910543
ENSG00000122085.16	MTERF4	protein_coding	chr2	241072169	241102332
ENSG00000176946.11	THAP4	protein_coding	chr2	241584405	241637449
ENSG00000134107.4	BHLHE40	protein_coding	chr3	4979116	4985323
ENSG00000132170.20	PPARG	protein_coding	chr3	12287368	12434356
ENSG00000177463.15	NR2C2	protein_coding	chr3	14947584	15053600
ENSG00000131381.12	RBSN	protein_coding	chr3	15070073	15099163
ENSG00000182568.16	SATB1	protein_coding	chr3	18345387	18445588
ENSG00000151789.11	ZNF385D	protein_coding	chr3	21412222	22373321
ENSG00000174738.12	NR1D2	protein_coding	chr3	23945260	23980618
ENSG00000151090.18	THRB	protein_coding	chr3	24117153	24495756
ENSG00000077092.18	RARB	protein_coding	chr3	25174332	25597932
ENSG00000163508.12	EOMES	protein_coding	chr3	27715949	27722711
ENSG00000197385.5	ZNF860	protein_coding	chr3	31981771	31991628
ENSG00000153560.11	UBP1	protein_coding	chr3	33388336	33441371
ENSG00000144655.14	CSRNP1	protein_coding	chr3	39141855	39154562
ENSG00000177873.12	ZNF619	protein_coding	chr3	40477113	40490236
ENSG00000177842.12	ZNF620	protein_coding	chr3	40477131	40518736
ENSG00000172888.11	ZNF621	protein_coding	chr3	40524878	40574685
ENSG00000114853.13	ZBTB47	protein_coding	chr3	42653684	42665854
ENSG00000182983.14	ZNF662	protein_coding	chr3	42905731	42917641
ENSG00000185219.16	ZNF445	protein_coding	chr3	44431720	44477670
ENSG00000178917.16	ZNF852	protein_coding	chr3	44494847	44510636
ENSG00000196345.12	ZKSCAN7	protein_coding	chr3	44555193	44594173
ENSG00000144792.9	ZNF660	protein_coding	chr3	44578223	44599694
ENSG00000186448.14	ZNF197	protein_coding	chr3	44584888	44648471
ENSG00000169981.10	ZNF35	protein_coding	chr3	44648727	44660791
ENSG00000196653.11	ZNF502	protein_coding	chr3	44712643	44723831
ENSG00000186446.11	ZNF501	protein_coding	chr3	44729596	44737083
ENSG00000012223.12	LTF	protein_coding	chr3	46435645	46485234
ENSG00000164048.13	ZNF589	protein_coding	chr3	48241100	48299253
ENSG00000163666.9	HESX1	protein_coding	chr3	57197838	57227606
ENSG00000153266.12	FEZF2	protein_coding	chr3	62369681	62374324
ENSG00000144747.16	TMF1	protein_coding	chr3	69019827	69052339
ENSG00000187098.15	MITF	protein_coding	chr3	69739435	69968337
ENSG00000114861.20	FOXP1	protein_coding	chr3	70952817	71583993
ENSG00000227124.9	ZNF717	protein_coding	chr3	75678660	75785583
ENSG00000064835.10	POU1F1	protein_coding	chr3	87259404	87276587
ENSG00000163320.10	CGGBP1	protein_coding	chr3	88051944	88149885
ENSG00000175105.6	ZNF654	protein_coding	chr3	88059274	88144665
ENSG00000066422.4	ZBTB11	protein_coding	chr3	101648889	101677495
ENSG00000114439.18	BBX	protein_coding	chr3	107522936	107811324
ENSG00000177494.5	ZBED2	protein_coding	chr3	111592900	111595443
ENSG00000176542.9	USF3	protein_coding	chr3	113648385	113696646
ENSG00000174255.6	ZNF80	protein_coding	chr3	114234631	114237578
ENSG00000181722.16	ZBTB20	protein_coding	chr3	114314501	115147271
ENSG00000144852.17	NR1I2	protein_coding	chr3	119780484	119818485
ENSG00000186103.3	ARGFX	protein_coding	chr3	121570704	121586634
ENSG00000163848.19	ZNF148	protein_coding	chr3	125225561	125375354
ENSG00000163884.3	KLF15	protein_coding	chr3	126342635	126357442
ENSG00000070476.14	ZXDC	protein_coding	chr3	126437601	126475919
ENSG00000179348.11	GATA2	protein_coding	chr3	128479427	128493185
ENSG00000129071.9	MBD4	protein_coding	chr3	129430944	129440179
ENSG00000168875.2	SOX14	protein_coding	chr3	137764284	137766338
ENSG00000183770.6	FOXL2	protein_coding	chr3	138944224	138947140
ENSG00000177311.11	ZBTB38	protein_coding	chr3	141324213	141449792
ENSG00000114126.17	TFDP2	protein_coding	chr3	141944428	142149544
ENSG00000188313.12	PLSCR1	protein_coding	chr3	146515180	146544864
ENSG00000174963.17	ZIC4	protein_coding	chr3	147386046	147406860
ENSG00000152977.9	ZIC1	protein_coding	chr3	147393422	147510293
ENSG00000168779.19	SHOX2	protein_coding	chr3	158095954	158106503
ENSG00000085276.17	MECOM	protein_coding	chr3	169083499	169663618
ENSG00000085274.15	MYNN	protein_coding	chr3	169772831	169789716
ENSG00000136603.13	SKIL	protein_coding	chr3	170357678	170396835
ENSG00000121864.9	ZNF639	protein_coding	chr3	179322991	179338583
ENSG00000181449.3	SOX2	protein_coding	chr3	181711924	181714436
ENSG00000244405.7	ETV5	protein_coding	chr3	186046308	186110318
ENSG00000113916.17	BCL6	protein_coding	chr3	187721377	187745727
ENSG00000073282.12	TP63	protein_coding	chr3	189631416	189897279
ENSG00000114315.3	HES1	protein_coding	chr3	194136145	194138732
ENSG00000272602.5	ZNF595	protein_coding	chr4	53285	88211
ENSG00000250312.7	ZNF718	protein_coding	chr4	124480	202303
ENSG00000186777.11	ZNF732	protein_coding	chr4	270675	305321
ENSG00000131127.13	ZNF141	protein_coding	chr4	337814	384864
ENSG00000182903.15	ZNF721	protein_coding	chr4	425815	499156
ENSG00000235608.1	NKX1-1	protein_coding	chr4	1402932	1406331
ENSG00000123933.16	MXD4	protein_coding	chr4	2247432	2262294
ENSG00000188981.10	MSANTD1	protein_coding	chr4	3244369	3271738
ENSG00000168826.15	ZBTB49	protein_coding	chr4	4290251	4321786
ENSG00000163132.6	MSX1	protein_coding	chr4	4859666	4863936
ENSG00000215612.7	HMX1	protein_coding	chr4	8846076	8871817
ENSG00000178163.7	ZNF518B	protein_coding	chr4	10439874	10457410
ENSG00000109705.7	NKX3-2	protein_coding	chr4	13540830	13545050
ENSG00000237765.6	FAM200B	protein_coding	chr4	15681662	15705565
ENSG00000178177.15	LCORL	protein_coding	chr4	17841199	18021876
ENSG00000168214.20	RBPJ	protein_coding	chr4	26163455	26435131
ENSG00000109787.12	KLF3	protein_coding	chr4	38664196	38701042
ENSG00000109132.6	PHOX2B	protein_coding	chr4	41744082	41748970
ENSG00000170448.11	NFXL1	protein_coding	chr4	47847233	47914667
ENSG00000180613.10	GSX2	protein_coding	chr4	54099523	54102505
ENSG00000134852.14	CLOCK	protein_coding	chr4	55427903	55547138
ENSG00000084093.16	REST	protein_coding	chr4	56907876	56966678
ENSG00000174796.12	THAP6	protein_coding	chr4	75513946	75550473
ENSG00000152784.15	PRDM8	protein_coding	chr4	80183879	80204329
ENSG00000168152.12	THAP9	protein_coding	chr4	82900684	82919969
ENSG00000189308.10	LIN54	protein_coding	chr4	82909973	83012926
ENSG00000163623.9	NKX6-1	protein_coding	chr4	84491987	84498450
ENSG00000180346.3	TIGD2	protein_coding	chr4	89111500	89114899
ENSG00000172238.4	ATOH1	protein_coding	chr4	93828753	93830964
ENSG00000109320.11	NFKB1	protein_coding	chr4	102501329	102617302
ENSG00000168772.10	CXXC4	protein_coding	chr4	104468312	104494901
ENSG00000168769.13	TET2	protein_coding	chr4	105145875	105279816
ENSG00000138795.9	LEF1	protein_coding	chr4	108047545	108168956
ENSG00000164093.16	PITX2	protein_coding	chr4	110617423	110642123
ENSG00000178403.3	NEUROG2	protein_coding	chr4	112513516	112516172
ENSG00000138738.10	PRDM5	protein_coding	chr4	120684919	120922870
ENSG00000109381.19	ELF2	protein_coding	chr4	139028112	139177218
ENSG00000170365.9	SMAD1	protein_coding	chr4	145481194	145558079
ENSG00000151612.15	ZNF827	protein_coding	chr4	145757627	145938635
ENSG00000151615.3	POU4F2	protein_coding	chr4	146638893	146642474
ENSG00000151623.14	NR3C2	protein_coding	chr4	148078762	148444698
ENSG00000169989.2	TIGD4	protein_coding	chr4	152769354	152779764
ENSG00000164107.8	HAND2	protein_coding	chr4	173524969	173530229
ENSG00000168310.10	IRF2	protein_coding	chr4	184387713	184474580
ENSG00000187821.8	HELT	protein_coding	chr4	185018841	185020804
ENSG00000179059.9	ZFP42	protein_coding	chr4	187995771	188005050
ENSG00000260596.5	DUX4	protein_coding	chr4	190173774	190185942
ENSG00000063438.16	AHRR	protein_coding	chr5	304176	438291
ENSG00000113430.9	IRX4	protein_coding	chr5	1877413	1887236
ENSG00000170561.12	IRX2	protein_coding	chr5	2745845	2751662
ENSG00000170549.3	IRX1	protein_coding	chr5	3596054	3601403
ENSG00000164256.10	PRDM9	protein_coding	chr5	23443586	23528597
ENSG00000172262.11	ZNF131	protein_coding	chr5	43065176	43192021
ENSG00000016082.14	ISL1	protein_coding	chr5	51383391	51394738
ENSG00000062194.15	GPBP1	protein_coding	chr5	57173948	57264679
ENSG00000178175.11	ZNF366	protein_coding	chr5	72442652	72507727
ENSG00000251493.4	FOXD1	protein_coding	chr5	73444827	73448527
ENSG00000132846.5	ZBED3	protein_coding	chr5	77072072	77087323
ENSG00000171540.7	OTP	protein_coding	chr5	77628712	77639688
ENSG00000164299.6	SPZ1	protein_coding	chr5	80319625	80321842
ENSG00000081189.15	MEF2C	protein_coding	chr5	88717117	88904257
ENSG00000175745.12	NR2F1	protein_coding	chr5	93583224	93594615
ENSG00000248483.6	POU5F2	protein_coding	chr5	93733220	93741637
ENSG00000164334.15	FAM170A	protein_coding	chr5	119629559	119635822
ENSG00000164185.5	ZNF474	protein_coding	chr5	122129513	122153571
ENSG00000061455.10	PRDM6	protein_coding	chr5	123089121	123194266
ENSG00000168916.15	ZNF608	protein_coding	chr5	124636913	124748807
ENSG00000125347.13	IRF1	protein_coding	chr5	132481609	132490798
ENSG00000081059.19	TCF7	protein_coding	chr5	134114711	134151865
ENSG00000069011.15	PITX1	protein_coding	chr5	135027735	135034813
ENSG00000181965.5	NEUROG1	protein_coding	chr5	135534282	135535949
ENSG00000113658.17	SMAD5	protein_coding	chr5	136132845	136188747
ENSG00000120738.7	EGR1	protein_coding	chr5	138465490	138469315
ENSG00000171604.11	CXXC5	protein_coding	chr5	139647299	139683882
ENSG00000185129.5	PURA	protein_coding	chr5	140107777	140125619
ENSG00000113580.14	NR3C1	protein_coding	chr5	143277931	143435512
ENSG00000091010.5	POU4F3	protein_coding	chr5	146338839	146341722
ENSG00000164296.6	TIGD6	protein_coding	chr5	149993118	150001167
ENSG00000113722.16	CDX1	protein_coding	chr5	150166795	150184558
ENSG00000145908.12	ZNF300	protein_coding	chr5	150894392	150904983
ENSG00000113196.2	HAND1	protein_coding	chr5	154474972	154478264
ENSG00000039600.10	SOX30	protein_coding	chr5	157625679	157671480
ENSG00000164330.16	EBF1	protein_coding	chr5	158695916	159099761
ENSG00000168269.9	FOXI1	protein_coding	chr5	170105897	170109725
ENSG00000164438.5	TLX3	protein_coding	chr5	171309284	171312134
ENSG00000183072.9	NKX2-5	protein_coding	chr5	173232109	173235357
ENSG00000120149.8	MSX2	protein_coding	chr5	174724533	174730893
ENSG00000113761.11	ZNF346	protein_coding	chr5	177022696	177081189
ENSG00000213347.10	MXD3	protein_coding	chr5	177301461	177312757
ENSG00000175325.2	PROP1	protein_coding	chr5	177992235	177996242
ENSG00000169131.12	ZNF354A	protein_coding	chr5	178711592	178730702
ENSG00000178338.10	ZNF354B	protein_coding	chr5	178859953	178888122
ENSG00000198939.7	ZFP2	protein_coding	chr5	178895894	178933212
ENSG00000178187.7	ZNF454	protein_coding	chr5	178941191	178966433
ENSG00000234284.6	ZNF879	protein_coding	chr5	179023752	179035064
ENSG00000177932.6	ZNF354C	protein_coding	chr5	179060415	179083537
ENSG00000196670.13	ZFP62	protein_coding	chr5	180847611	180861285
ENSG00000137265.14	IRF4	protein_coding	chr6	391739	411447
ENSG00000164379.6	FOXQ1	protein_coding	chr6	1312440	1314748
ENSG00000137273.5	FOXF2	protein_coding	chr6	1389576	1395603
ENSG00000054598.7	FOXC1	protein_coding	chr6	1609972	1613897
ENSG00000124782.19	RREB1	protein_coding	chr6	7107597	7251980
ENSG00000137203.11	TFAP2A	protein_coding	chr6	10393186	10419659
ENSG00000124827.6	GCM2	protein_coding	chr6	10873223	10881941
ENSG00000095951.16	HIVEP1	protein_coding	chr6	12008762	12164999
ENSG00000112242.14	E2F3	protein_coding	chr6	20401906	20493715
ENSG00000124766.6	SOX4	protein_coding	chr6	21592768	21598619
ENSG00000181315.10	ZNF322	protein_coding	chr6	26634383	26659752
ENSG00000124613.8	ZNF391	protein_coding	chr6	27374615	27403904
ENSG00000096654.15	ZNF184	protein_coding	chr6	27450743	27473118
